usuario,texto,entidade_mencionada
f436cb6f-b331-4a0c-ba41-567a1f74ef05,boa sorte pro pessoal da setapp,Secom
f436cb6f-b331-4a0c-ba41-567a1f74ef05,boa sorte pro pessoal da setapp,Setapp
f436cb6f-b331-4a0c-ba41-567a1f74ef05,ansioso pelos minucursos,Secom
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,o app melhorou mto de ano passado pra esse ano,Mto
86cc2ad1-6ef4-4b63-8d8f-c512cc96589d,o app melhorou mto de ano passado pra esse ano,App
45025e25-714c-447c-ad00-3f2880882d2b,ansioso pelo coffe break,Coffe
45025e25-714c-447c-ad00-3f2880882d2b,ótimas palestras,Palestras
02af807d-7123-444e-b61e-89eaf92be60f,ansioso pelos jogos da gamejam,Gamejam
45025e25-714c-447c-ad00-3f2880882d2b,ótimas palestras,Palestras
5bc436a4-ec67-4216-87a7-d9152877d21f,tô gostando mt das palestras,Palestras
5bc436a4-ec67-4216-87a7-d9152877d21f,a maratona foi mt divertida,Maratona
96a82185-2b89-4f00-9bf9-ab5b2fa5c8ce,"syndle sempre presente na secom, muito boa a palestra",Secom
96a82185-2b89-4f00-9bf9-ab5b2fa5c8ce,"syndle sempre presente na secom, muito boa a palestra",Palestras
d0881343-b903-4573-aee3-c821f2e201de,"muito boa a maratona, gostei das questões",Secom
d0881343-b903-4573-aee3-c821f2e201de,"muito boa a maratona, gostei das questões",Maratona
d0881343-b903-4573-aee3-c821f2e201de,muito boa a palestra da setup,Palestras
d0881343-b903-4573-aee3-c821f2e201de,muito boa a palestra da setup,Setup
d0881343-b903-4573-aee3-c821f2e201de,muito boa a palestra da sydle,Sydle
d0881343-b903-4573-aee3-c821f2e201de,muito boa a palestra da sydle,Palestras
b843c3db-fc8f-45a6-8322-19b87391fa20,a maratona de programação desse ano vai ser acirrada,Programacao
b843c3db-fc8f-45a6-8322-19b87391fa20,a maratona de programação desse ano vai ser acirrada,Maratona
b843c3db-fc8f-45a6-8322-19b87391fa20,ansioso com o resultado,Resultado
b843c3db-fc8f-45a6-8322-19b87391fa20,a maratona de programação desse ano foi incrível,Programacao
b843c3db-fc8f-45a6-8322-19b87391fa20,a maratona de programação desse ano foi incrível,Maratona
